FINESS;Raison sociale;Commune;Statut Juridique;Région
010000024;010000024 - CH DE FLEYRIAT;VIRIAT;Public;84 - Auvergne-Rhône-Alpes
010000032;010000032 - CH BUGEY SUD;BELLEY;Public;84 - Auvergne-Rhône-Alpes
010000065;010000065 - CH DE TREVOUX - MONTPENSIER;TREVOUX;Public;84 - Auvergne-Rhône-Alpes
010000081;010000081 - CH DU PAYS DE GEX;GEX;Public;84 - Auvergne-Rhône-Alpes
010000099;010000099 - CH DE MEXIMIEUX;MEXIMIEUX;Public;84 - Auvergne-Rhône-Alpes
010000107;010000107 - CH DE PONT DE VAUX;PONT DE VAUX;Public;84 - Auvergne-Rhône-Alpes
010000115;010000115 - CHI AIN VAL DE SAONE - PONT VEYLE;PONT DE VEYLE;Public;84 - Auvergne-Rhône-Alpes
010000131;010000131 - CHI AIN VAL DE SAONE - THOISSEY;THOISSEY;Public;84 - Auvergne-Rhône-Alpes
010000180;010000180 - CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;PLATEAU D HAUTEVILLE;Public;84 - Auvergne-Rhône-Alpes
010000198;010000198 - CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;PLATEAU D HAUTEVILLE;Public;84 - Auvergne-Rhône-Alpes
010000214;010000214 - CH PUBLIC HAUTEVILLE - UNITE ALBARINE;PLATEAU D HAUTEVILLE;Public;84 - Auvergne-Rhône-Alpes
010000495;010000495 - CENTRE PSYCHOTHERAPIQUE DE L'AIN;BOURG EN BRESSE;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010002129;010002129 - CLINIQUE LES ARBELLES;BOURG EN BRESSE;Privé lucratif;84 - Auvergne-Rhône-Alpes
010005239;010005239 - CH DU HAUT BUGEY - GEOVREISSET;OYONNAX;Public;84 - Auvergne-Rhône-Alpes
010005379;010005379 - HAD DE L'HOPITAL PRIVE D'AMBERIEU;AMBERIEU EN BUGEY;Privé lucratif;84 - Auvergne-Rhône-Alpes
010006526;010006526 - AURAL UNITE DIALYSE CH HAUT BUGEY;OYONNAX;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010007300;010007300 - CLINIQUE AMBULATOIRE CENDANEG;PREVESSIN MOENS;Privé lucratif;84 - Auvergne-Rhône-Alpes
010008852;010008852 - CRF L'ORCET SITE DU CH DE FLEYRIAT;BOURG EN BRESSE;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010009702;010009702 - USLD EMILE PELICAND;BOURG EN BRESSE;Public;84 - Auvergne-Rhône-Alpes
010010171;010010171 - CLINIQUE DE CHATILLON;VALSERHONE;Privé lucratif;84 - Auvergne-Rhône-Alpes
010011385;010011385 - UNITE DE DIALYSE AMBERIEU EN BUGEY;AMBERIEU EN BUGEY;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010011641;010011641 - CLINIQUE DU SOUFFLE LE PONTET;PLATEAU D HAUTEVILLE;Privé lucratif;84 - Auvergne-Rhône-Alpes
010780195;010780195 - CLINIQUE CONVERT;BOURG EN BRESSE;Privé lucratif;84 - Auvergne-Rhône-Alpes
010780203;010780203 - HOPITAL PRIVE D'AMBERIEU;AMBERIEU EN BUGEY;Privé lucratif;84 - Auvergne-Rhône-Alpes
010780278;010780278 - CENTRE DE REEDUCATION MANGINI;PLATEAU D HAUTEVILLE;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010780294;010780294 - NEPHROCARE CH BELLEY;BELLEY;Privé lucratif;84 - Auvergne-Rhône-Alpes
010780476;010780476 - CENTRE SSR READAPT ADOLESCENTS CHANAY;CHANAY;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010780492;010780492 - CRF ROMANS-FERRARI;MIRIBEL;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010780799;010780799 - CTRE DE MPR CHATEAU D'ANGEVILLE;PLATEAU D HAUTEVILLE;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010789006;010789006 - UNITE DE DIALYSE BOURG EN BRESSE;VIRIAT;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010789576;010789576 - USLD;REYRIEUX;Public;84 - Auvergne-Rhône-Alpes
010789717;010789717 - USLD CH D'OYONNAX;OYONNAX;Public;84 - Auvergne-Rhône-Alpes
020000089;020000089 - CH GUISE;GUISE;Public;32 - Hauts-de-France
020000097;020000097 - CH LA FÈRE;LA FERE;Public;32 - Hauts-de-France
020000105;020000105 - CH LE NOUVION-EN-THIÉRACHE;LE NOUVION EN THIERACHE;Public;32 - Hauts-de-France
020000162;020000162 - CH SAINT-QUENTIN;SAINT QUENTIN;Public;32 - Hauts-de-France
020000246;020000246 - CH VERVINS;VERVINS;Public;32 - Hauts-de-France
020000303;020000303 - HOPITAL VILLIERS SAINT DENIS;VILLIERS SAINT DENIS;Privé non lucratif;32 - Hauts-de-France
020000360;020000360 - CLINIQUE COURLANCY SOISSONS;SOISSONS;Privé lucratif;32 - Hauts-de-France
020000386;020000386 - CLINIQUE DE LA ROSERAIE;SOISSONS;Privé lucratif;32 - Hauts-de-France
020000394;020000394 - CH LAON;LAON;Public;32 - Hauts-de-France
020000519;020000519 - CH SOISSONS;SOISSONS;Public;32 - Hauts-de-France
020000535;020000535 - CH CHAUNY;CHAUNY;Public;32 - Hauts-de-France
020000543;020000543 - ETS PUB SANTÉ MENTALE DE L'AISNE;PREMONTRE;Public;32 - Hauts-de-France
020000915;020000915 - SSR JACQUES FICHEUX SAINT-GOBAIN;SAINT GOBAIN;Public;32 - Hauts-de-France
020001061;020001061 - CH CHÂTEAU-THIERRY;CHATEAU THIERRY;Public;32 - Hauts-de-France
020001087;020001087 - CH HIRSON;HIRSON;Public;32 - Hauts-de-France
020001772;020001772 - UNITE DE DIALYSE DE CHAUNY;CHAUNY;Privé non lucratif;32 - Hauts-de-France
020001913;020001913 - UNITE DE DIALYSE DE LAON;LAON;Privé non lucratif;32 - Hauts-de-France
020003877;020003877 - SSR CH LAON;LAON;Public;32 - Hauts-de-France
020004156;020004156 - CLINIQUE TEMPS DE VIE SAINT-QUENTIN;SAINT QUENTIN;Privé non lucratif;32 - Hauts-de-France
020004297;020004297 - HAD AMSAM SOISSONS;SOISSONS;Privé non lucratif;32 - Hauts-de-France
020004677;020004677 - USLD CH SOISSONS;BELLEU;Public;32 - Hauts-de-France
020005476;020005476 - USLD CH LAON;LAON;Public;32 - Hauts-de-France
020006441;020006441 - UNITE DIALYSE DE COURMELLES;COURMELLES;Privé non lucratif;32 - Hauts-de-France
020006664;020006664 - CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;SAINT QUENTIN;Public;32 - Hauts-de-France
020009684;020009684 - USLD MSB BOHAIN-EN-VERMANDOIS;BOHAIN EN VERMANDOIS;Public;32 - Hauts-de-France
020010047;020010047 - HOPITAL PRIVE SAINT CLAUDE;SAINT QUENTIN;Privé lucratif;32 - Hauts-de-France
020010310;020010310 - SSR AURORE BUCY-LE-LONG;BUCY LE LONG;Privé non lucratif;32 - Hauts-de-France
020010898;020010898 - HAD CRF CHAUNY;CHAUNY;Privé non lucratif;32 - Hauts-de-France
020012860;020012860 - UNITE DE DIALYSE DE SAINT-QUENTIN;SAINT QUENTIN;Privé non lucratif;32 - Hauts-de-France
020014767;020014767 - HAD TEMPS DE VIE SAINT-QUENTIN;SAINT QUENTIN;Privé non lucratif;32 - Hauts-de-France
020016242;020016242 - UNITE DE DIALYSE DE GUISE;GUISE;Privé non lucratif;32 - Hauts-de-France
020016341;020016341 - SSR RENAISSANCE SOISSONS;SOISSONS;Privé non lucratif;32 - Hauts-de-France
020016366;020016366 - SMUR CH SAINT-QUENTIN GUISE;GUISE;Public;32 - Hauts-de-France
020017075;020017075 - UNITE DE DIALYSE DE CHATEAU-THIERRY;CHATEAU THIERRY;Privé non lucratif;32 - Hauts-de-France
020017448;020017448 - SANTELYS DIALYSE À DOM CH ST QUENTIN;SAINT QUENTIN;Privé non lucratif;32 - Hauts-de-France
020017455;020017455 - SANTELYS DIALYSE À DOMICILE CH LAON;LAON;Privé non lucratif;32 - Hauts-de-France
020018453;020018453 - SANTELYS DIALYSE À DOMICILE CH SOISSON;COURMELLES;Privé non lucratif;32 - Hauts-de-France
020018545;020018545 - SANTELYS UNITÉ DE DIALYSE DE VERVINS;VERVINS;Privé non lucratif;32 - Hauts-de-France
030000012;030000012 - CH DE NERIS LES BAINS;NERIS LES BAINS;Public;84 - Auvergne-Rhône-Alpes
030000061;030000061 - CH DE MOULINS;MOULINS;Public;84 - Auvergne-Rhône-Alpes
030000079;030000079 - CH DE MONTLUCON;MONTLUCON;Public;84 - Auvergne-Rhône-Alpes
030000087;030000087 - CH JACQUES LACARIN VICHY;VICHY;Public;84 - Auvergne-Rhône-Alpes
030000095;030000095 - CH DE BOURBON L'ARCHAMBAULT;BOURBON L ARCHAMBAULT;Public;84 - Auvergne-Rhône-Alpes
030000160;030000160 - CHS D'AINAY LE CHATEAU;AINAY LE CHATEAU;Public;84 - Auvergne-Rhône-Alpes
030001689;030001689 - CENTRE DE RADIOTHERAPIE JOSEPH BELOT;DESERTINES;Privé lucratif;84 - Auvergne-Rhône-Alpes
030002208;030002208 - CH DPT COEUR DU BOURBONNAIS TRONGET;TRONGET;Public;84 - Auvergne-Rhône-Alpes
030003669;030003669 - AURA SANTE MONTLUCON;MONTLUCON;Privé non lucratif;84 - Auvergne-Rhône-Alpes
030003719;030003719 - AURA SANTE MOULINS;MOULINS;Privé non lucratif;84 - Auvergne-Rhône-Alpes
030003768;030003768 - AURA SANTE VICHY;VICHY;Privé non lucratif;84 - Auvergne-Rhône-Alpes
030007942;030007942 - CH DPT COEUR BOURBONNAIS ST POURCAIN;SAINT POURCAIN SUR SIOULE;Public;84 - Auvergne-Rhône-Alpes
030008726;030008726 - CTRE ONCO ST JEAN SITE MOULINS;MOULINS;Privé lucratif;84 - Auvergne-Rhône-Alpes
030780548;030780548 - POLYCLINIQUE LA PERGOLA;VICHY;Privé lucratif;84 - Auvergne-Rhône-Alpes
030781116;030781116 - HOPITAL PRIVE SAINT-FRANCOIS;DESERTINES;Privé lucratif;84 - Auvergne-Rhône-Alpes
030781637;030781637 - SERVICE DE PSYCHIATRIE CHATELARD;SAINT ANGEL;Public;84 - Auvergne-Rhône-Alpes
030785430;030785430 - POLYCLINIQUE SAINT-ODILON;MOULINS;Privé lucratif;84 - Auvergne-Rhône-Alpes
040000036;040000036 - EPS PIERRE GROUES DE BARCELONNETTE;BARCELONNETTE;Public;93 - Provence-Alpes-Côte d'Azur
040000044;040000044 - EPS DUCELIA DE CASTELLANE;CASTELLANE;Public;93 - Provence-Alpes-Côte d'Azur
040000069;040000069 - CHI MANOSQUE SITE FORCALQUIER;FORCALQUIER;Public;93 - Provence-Alpes-Côte d'Azur
040000093;040000093 - CHI DE MANOSQUE LOUIS RAFFALLI;MANOSQUE;Public;93 - Provence-Alpes-Côte d'Azur
040000119;040000119 - EPS LUMIERE DE RIEZ;RIEZ;Public;93 - Provence-Alpes-Côte d'Azur
040000127;040000127 - EPS VALLEE DE LA BLANCHE SEYNE ALPES;SEYNE LES ALPES;Public;93 - Provence-Alpes-Côte d'Azur
040000135;040000135 - CHI DES ALPES DU SUD SITE DE SISTERON;SISTERON;Public;93 - Provence-Alpes-Côte d'Azur
040000911;040000911 - CENTRE HOSPITALIER DE DIGNE LES BAINS;DIGNE LES BAINS;Public;93 - Provence-Alpes-Côte d'Azur
040003113;040003113 - CTRE NEPHRO B.BRAUN AVITUM SISTERON;SISTERON;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040780389;040780389 - CLINIQUE JEAN GIONO;MANOSQUE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040780405;040780405 - CENTRE DES CARMES;AIGLUN;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040780470;040780470 - CLINIQUE TOUTES AURES;MANOSQUE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040780488;040780488 - CRF DE HAUTE PROVENCE L'EAU VIVE;TURRIERS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040780520;040780520 - CLINIQUE LE VERDON;GREOUX LES BAINS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040782021;040782021 - CTRE SOINS DE SUITE READAPT LE COUSSON;DIGNE LES BAINS;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
040784860;040784860 - CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;MANOSQUE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040787541;040787541 - CTRE NEPHRO B.BRAUN AVITUM DIGNE;DIGNE LES BAINS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
040788440;040788440 - CHI MANOSQUE USLD SITE SAINT ANDRE;MANOSQUE;Public;93 - Provence-Alpes-Côte d'Azur
050000041;050000041 - CENTRE MEDICAL RHONE AZUR BRIANCON;BRIANCON;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050000058;050000058 - CENTRE MEDICAL SSR RIO VERT;LA SAULCE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050000066;050000066 - CENTRE MEDICAL LA SOURCE;ST LEGER LES MELEZES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
050000090;050000090 - POLYCLINIQUE DES ALPES DU SUD GAP;GAP;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
050000132;050000132 - CH BUECH DURANCE;LARAGNE MONTEGLIN;Public;93 - Provence-Alpes-Côte d'Azur
050000223;050000223 - CENTRE HOSPITALIER AIGUILLES QUEYRAS;AIGUILLES;Public;93 - Provence-Alpes-Côte d'Azur
050000231;050000231 - CH LES ESCARTONS A BRIANCON;BRIANCON;Public;93 - Provence-Alpes-Côte d'Azur
050000256;050000256 - CENTRE HOSPITALIER D'EMBRUN;EMBRUN;Public;93 - Provence-Alpes-Côte d'Azur
050000298;050000298 - SSR LA GUISANE;VILLAR ST PANCRACE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050000348;050000348 - CHI DES ALPES DU SUD SITE DE GAP;GAP;Public;93 - Provence-Alpes-Côte d'Azur
050000454;050000454 - LE FUTUR ANTERIEUR;EMBRUN;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
050000488;050000488 - CLINIQUE DU SOUFFLE LES ACACIAS;BRIANCON;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
050000637;050000637 - CLINIQUE MONTJOY;BRIANCON;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
050000991;050000991 - CENTRE MEDICAL CHANT'OURS;BRIANCON;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050001064;050001064 - CENTRE MEDICAL LA DURANCE;TALLARD;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050002351;050002351 - CENTRE RHONE AZUR GAP;GAP;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050006022;050006022 - AGDUC UNITE D'AUTODIALYSE GAP;GAP;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050007533;050007533 - INSTITUT PAOLI CALMETTES RADIOTH GAP;GAP;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
050008630;050008630 - HJ L'ESCALE BRIANCON;BRIANCON;Public;93 - Provence-Alpes-Côte d'Azur
060000163;060000163 - CH SAINT MAUR SAINT ETIENNE TINEE;ST ETIENNE DE TINEE;Public;93 - Provence-Alpes-Côte d'Azur
060000296;060000296 - LA MAISON DU MINEUR;VENCE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060000304;060000304 - CENTRE HOSPITALIER DE BREIL SUR ROYA;BREIL SUR ROYA;Public;93 - Provence-Alpes-Côte d'Azur
060000411;060000411 - CH DU PAYS DE LA ROUDOULE PUGET;PUGET THENIERS;Public;93 - Provence-Alpes-Côte d'Azur
060000478;060000478 - CENTRE HOSPITALIER DE GRASSE;GRASSE;Public;93 - Provence-Alpes-Côte d'Azur
060000486;060000486 - CH SAINT ELOI DE SOSPEL;SOSPEL;Public;93 - Provence-Alpes-Côte d'Azur
060000494;060000494 - CH SAINT LAZARE DE TENDE;TENDE;Public;93 - Provence-Alpes-Côte d'Azur
060000510;060000510 - CH D'ANTIBES JUAN LES PINS;ANTIBES;Public;93 - Provence-Alpes-Côte d'Azur
060000528;060000528 - CENTRE ANTOINE LACASSAGNE;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060000544;060000544 - CH DE CANNES SIMONE VEIL;CANNES;Public;93 - Provence-Alpes-Côte d'Azur
060000551;060000551 - USLD POLE SANTE VALLAURIS GOLFE JUAN;VALLAURIS;Public;93 - Provence-Alpes-Côte d'Azur
060001625;060001625 - CENTRE JEAN CHANTON ROQUEBILLIERE;ROQUEBILLIERE;Public;93 - Provence-Alpes-Côte d'Azur
060002102;060002102 - CH LA PALMOSA DE MENTON;MENTON;Public;93 - Provence-Alpes-Côte d'Azur
060005469;060005469 - L'OLIVERAIE DES CAYRONS;VENCE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060006558;060006558 - HAD ARNAULT TZANCK;ST LAURENT DU VAR;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060010899;060010899 - INSTITUT UNIVERSITAIRE FACE ET COU;NICE;Public;93 - Provence-Alpes-Côte d'Azur
060010949;060010949 - AGAHTIR UDM ANTIBES;ANTIBES;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060015328;060015328 - LES AIRELLES;GRASSE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060019213;060019213 - USLD DOLCE FARNIENTE;LE CANNET;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060019627;060019627 - CTRE AZUREEN CANCEROLOGIE SITE TZANCK;MOUGINS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060019676;060019676 - AGAHTIR AUTODIALYSE UDM GRASSE;GRASSE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060021094;060021094 - CLINIQUE VILLA ROMAINE;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060021201;060021201 - CENTRE DE CONVALESCENCE ATLANTIS;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060021276;060021276 - AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060021342;060021342 - CTRE COBALTH TRAIT HTE ENERG SITE CLIN;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060021417;060021417 - HOPITAL PRIVE CANNES OXFORD;CANNES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060023694;060023694 - HJ CERES;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060024551;060024551 - CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060025285;060025285 - UAD VALLEE DE LA VESUBIE;ROQUEBILLIERE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060025681;060025681 - CTRE NEPHRO B.BRAUN AVITUM CAGNES/MER;CAGNES SUR MER;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060030079;060030079 - VAL DES MIMOSAS;PEGOMAS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780145;060780145 - CLINIQUE SAINT DOMINIQUE;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060780186;060780186 - LES LAURIERS ROSES;LEVENS;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060780277;060780277 - CLINIQUE SAINTE BRIGITTE;GRASSE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780343;060780343 - E3S SAINT JEAN;CAGNES SUR MER;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780350;060780350 - CLINIQUE LES HELLENIDES;CONTES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780392;060780392 - POLE ANTIBES SAINT JEAN;ANTIBES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780442;060780442 - CLINIQUE SAINT FRANCOIS;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780459;060780459 - CLINIQUE ORSAC MONTFLEURI;GRASSE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060780491;060780491 - INSTITUT ARNAULT TZANCK;ST LAURENT DU VAR;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060780517;060780517 - POLYCLINIQUE SAINT JEAN;CAGNES SUR MER;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780525;060780525 - CLINIQUE LE VAL D'ESTREILLES;PEGOMAS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780541;060780541 - CLINIQUE LA GRANGEA;MOUGINS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780558;060780558 - CLINIQUE FSEF VENCE;VENCE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060780590;060780590 - CLINIQUE DU PALAIS;GRASSE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780665;060780665 - CLINIQUE LE MERIDIEN;CANNES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780715;060780715 - CLINIQUE SAINT GEORGE;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780723;060780723 - CLINIQUE DU PARC IMPERIAL;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780749;060780749 - CLINIQUE SAINT LUC;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780756;060780756 - POLYCLINIQUE SANTA MARIA;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060780947;060780947 - HOP PEDIATRIQUES DE NICE CHU LENVAL;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060780996;060780996 - CHS SAINTE MARIE;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060781200;060781200 - CLINIQUE SAINT ANTOINE KANTYS CENTRE;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060781374;060781374 - INSTITUT POLYCLINIQUE DE CANNES;CANNES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060781929;060781929 - CLINIQUE DE LA COSTIERE;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060785003;060785003 - CHU DE NICE HOPITAL PASTEUR;NICE;Public;93 - Provence-Alpes-Côte d'Azur
060785243;060785243 - HAD NICE & REGION;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060788957;060788957 - CHU DE NICE HOPITAL DE CIMIEZ;NICE;Public;93 - Provence-Alpes-Côte d'Azur
060789195;060789195 - CHU DE NICE HOPITAL DE L'ARCHET;NICE;Public;93 - Provence-Alpes-Côte d'Azur
060789674;060789674 - CENTRE HELIO MARIN;VALLAURIS;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060790177;060790177 - CHU NICE CTRE DE CONVALESCENCE TENDE;TENDE;Public;93 - Provence-Alpes-Côte d'Azur
060790185;060790185 - USLD SIMONE VEIL CH CANNES;CANNES;Public;93 - Provence-Alpes-Côte d'Azur
060790862;060790862 - CLINIQUE LE CALME;CABRIS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060791746;060791746 - CLINIQUE DE L'ESTAGNOL;ANTIBES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060791811;060791811 - HOPITAL PRIVE GERIATRIQUE LES SOURCES;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060791860;060791860 - CTRE D'HEMODIALYSE INST ARNAULT TZANCK;ST LAURENT DU VAR;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060792090;060792090 - AGAHTIR DIALYSE A DOMICILE NICE;ST ANDRE DE LA ROCHE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060792736;060792736 - AGAHTIR AUTODIALYSE NICE;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060792900;060792900 - AUTODIAL INST ARNAULT TZANCK MOUGINS;MOUGINS;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060792926;060792926 - CTRE NEPHRO B.BRAUN AVITUM ANTIBES;ANTIBES;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060794013;060794013 - CTRE CARDIO MEDICO CHIRURGICAL TZANCK;ST LAURENT DU VAR;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060798881;060798881 - MAISON DE CONVALESCENCE LA SERENA;NICE;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060800166;060800166 - HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;MOUGINS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060800174;060800174 - FONDATION LENVAL;NICE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
060800182;060800182 - UNITE DE DIETETIQUE SOMEDI;PEGOMAS;Privé lucratif;93 - Provence-Alpes-Côte d'Azur
060801016;060801016 - AGAHTIR AUTODIALYSE MANDELIEU;MANDELIEU LA NAPOULE;Privé non lucratif;93 - Provence-Alpes-Côte d'Azur
070000013;070000013 - CH DE PRIVAS ARDECHE;PRIVAS;Public;84 - Auvergne-Rhône-Alpes
070000021;070000021 - CH DE JOYEUSE;JOYEUSE;Public;84 - Auvergne-Rhône-Alpes
070000039;070000039 - CH DE VALLON PONT D'ARC;VALLON PONT D ARC;Public;84 - Auvergne-Rhône-Alpes
070000047;070000047 - CH DE VILLENEUVE DE BERG;VILLENEUVE DE BERG;Public;84 - Auvergne-Rhône-Alpes
070000062;070000062 - CH DE BOURG SAINT ANDEOL;BOURG SAINT ANDEOL;Public;84 - Auvergne-Rhône-Alpes
070000070;070000070 - CH DU CHEYLARD;LE CHEYLARD;Public;84 - Auvergne-Rhône-Alpes
070000096;070000096 - HOPITAL PRIVE DE SAINT AGREVE;SAINT AGREVE;Privé non lucratif;84 - Auvergne-Rhône-Alpes
070000112;070000112 - CH LEOPOLD OLLIER;CHAMBONAS;Public;84 - Auvergne-Rhône-Alpes
070000179;070000179 - CH ARDECHE NORD;ANNONAY;Public;84 - Auvergne-Rhône-Alpes
070000187;070000187 - CH DE LAMASTRE;LAMASTRE;Public;84 - Auvergne-Rhône-Alpes
070000195;070000195 - CH DE TOURNON SUR RHONE;TOURNON SUR RHONE;Public;84 - Auvergne-Rhône-Alpes
070000203;070000203 - CH DE SAINT FELICIEN;SAINT FELICIEN;Public;84 - Auvergne-Rhône-Alpes
070000484;070000484 - CH ARDECHE MERIDIONALE -VALS LES BAINS;VALS LES BAINS;Public;84 - Auvergne-Rhône-Alpes
070000609;070000609 - CH ARDECHE MERIDIONALE - AUBENAS;AUBENAS;Public;84 - Auvergne-Rhône-Alpes
070004726;070004726 - AGDUC CENTRE DE DIALYSE AUBENAS;AUBENAS;Privé non lucratif;84 - Auvergne-Rhône-Alpes
070005046;070005046 - HDJ ADULTE GUILHERAND;GUILHERAND GRANGES;Public;84 - Auvergne-Rhône-Alpes
070006804;070006804 - SSR L.ROUVEYROL CH ARDECHE MERIDIONALE;AUBENAS;Public;84 - Auvergne-Rhône-Alpes
070780168;070780168 - CLINIQUE DU VIVARAIS SAINT DOMINIQUE;AUBENAS;Privé lucratif;84 - Auvergne-Rhône-Alpes
070780226;070780226 - SSR FILIERIS DES VANS;LES VANS;Privé non lucratif;84 - Auvergne-Rhône-Alpes
070780234;070780234 - CENTRE SSR LE CHATEAU;SAINT GEORGES LES BAINS;Privé non lucratif;84 - Auvergne-Rhône-Alpes
070780242;070780242 - CLINIQUE LA CONDAMINE;THUEYTS;Privé lucratif;84 - Auvergne-Rhône-Alpes
070780317;070780317 - CHS SAINTE-MARIE PRIVAS;PRIVAS;Privé non lucratif;84 - Auvergne-Rhône-Alpes
070780390;070780390 - CH DE SERRIERES;SERRIERES;Public;84 - Auvergne-Rhône-Alpes
070780424;070780424 - CLINIQUE PASTEUR;GUILHERAND GRANGES;Privé lucratif;84 - Auvergne-Rhône-Alpes
