,FINESS,Raison sociale,Commune,Statut Juridique,Région
0,60010899,060010899 - INSTITUT UNIVERSITAIRE FACE ET COU,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
1,60785003,060785003 - CHU DE NICE HOPITAL PASTEUR,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
2,60788957,060788957 - CHU DE NICE HOPITAL DE CIMIEZ,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
3,60789195,060789195 - CHU DE NICE HOPITAL DE L'ARCHET,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
4,60790177,060790177 - CHU NICE CTRE DE CONVALESCENCE TENDE,TENDE,CHRU,93 - Provence-Alpes-Côte d'Azur
5,130044977,130044977 - APHM ANTENNE SMUR DE MARIGNANE,MARIGNANE,CHRU,93 - Provence-Alpes-Côte d'Azur
6,130044985,130044985 - APHM ANTENNE SMUR DE LOUVAIN,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
7,130044993,130044993 - APHM ANTENNE SMUR DE PLOMBIERES,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
8,130045008,130045008 - APHM ANTENNE SMUR D'ENDOUME,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
9,130045016,130045016 - APHM ANTENNE SMUR DE MARIGNANE,MARIGNANE,CHRU,93 - Provence-Alpes-Côte d'Azur
10,130045040,130045040 - APHM ANTENNE SMUR DE LAVERAN,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
11,130780521,130780521 - APHM HOPITAL NORD,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
12,130783236,130783236 - APHM HOPITAL DE LA CONCEPTION,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
13,130783293,130783293 - APHM HOPITAL LA TIMONE,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
14,130784234,130784234 - APHM HOPITAUX SUD SAINTE MARGUERITE,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
15,130804297,130804297 - APHM HOPITAL LA TIMONE ENFANTS,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
16,140000209,140000209 - CHU CAEN,CAEN,CHRU,28 - Normandie
17,140004383,140004383 - CHR GEORGES CLEMENCEAU - CAEN,CAEN,CHRU,28 - Normandie
18,210986089,210986089 - CTRE HOSPITALIER REG UNIVERSITAIRE DIJ,DIJON,CHRU,27 - Bourgogne-Franche-Comté
19,210987558,210987558 - HOPITAL LE BOCAGE CHRU DIJON,DIJON,CHRU,27 - Bourgogne-Franche-Comté
20,250000023,250000023 - CHU BESANCON SITE SAINT-JACQUES,BESANCON,CHRU,27 - Bourgogne-Franche-Comté
21,250006954,250006954 - CHU JEAN MINJOZ BESANCON,BESANCON,CHRU,27 - Bourgogne-Franche-Comté
22,260020078,260020078 - SERVICE NEUROCHIRURGIE - CHU42,VALENCE,CHRU,84 - Auvergne-Rhône-Alpes
23,290000058,290000058 - CHRU BREST SITE HOPITAL MORVAN,BREST,CHRU,53 - Bretagne
24,290000256,290000256 - CHRU BREST SITE HOPITAL DE CARHAIX,CARHAIX PLOUGUER,CHRU,53 - Bretagne
25,290004324,290004324 - CHRU BREST SITE HOPITAL CAVALE BLANCHE,BREST,CHRU,53 - Bretagne
26,290004340,290004340 - CHRU BREST SITE HOPITAL BOHARS,BOHARS,CHRU,53 - Bretagne
27,290004365,290004365 - CHU BREST SITE GUILERS,GUILERS,CHRU,53 - Bretagne
28,300782117,300782117 - CHU NIMES CAREMEAU,NIMES,CHRU,76 - Occitanie
29,300782125,300782125 - CTRE SOINS PA SERRE CAVALIER CHU NIMES,NIMES,CHRU,76 - Occitanie
30,300782141,300782141 - CENTRE MEDICAL GRAU DU ROI CHU NIMES,LE GRAU DU ROI,CHRU,76 - Occitanie
31,310016977,310016977 - HOPITAUX MERE & ENFANTS CHU TOULOUSE,TOULOUSE,CHRU,76 - Occitanie
32,310019351,310019351 - HOPITAL LARREY CHU TOULOUSE,TOULOUSE,CHRU,76 - Occitanie
33,310022298,310022298 - HOPITAL GARONNE CHU TOULOUSE,TOULOUSE,CHRU,76 - Occitanie
34,310025333,310025333 - ONCOPOLE CHU TOULOUSE,TOULOUSE,CHRU,76 - Occitanie
35,310782339,310782339 - CRF LA FONTAINE SALEE CHU TOULOUSE,SALIES DU SALAT,CHRU,76 - Occitanie
36,310783048,310783048 - HOPITAL PURPAN CHU TOULOUSE,TOULOUSE,CHRU,76 - Occitanie
37,310783055,310783055 - HOPITAL DE RANGUEIL CHU TOULOUSE,TOULOUSE,CHRU,76 - Occitanie
38,310783063,310783063 - HOPITAL LA GRAVE CHU TOULOUSE,TOULOUSE,CHRU,76 - Occitanie
39,330781337,330781337 - HOPITAL XAVIER ARNOZAN - CHU,PESSAC,CHRU,75 - Nouvelle-Aquitaine
40,330781352,330781352 - HOPITAL SAINT-ANDRE - CHU,BORDEAUX,CHRU,75 - Nouvelle-Aquitaine
41,330781360,330781360 - GROUPE HOSPITALIER PELLEGRIN - CHU,BORDEAUX,CHRU,75 - Nouvelle-Aquitaine
42,330783648,330783648 - HOPITAL HAUT-LEVEQUE - CHU,PESSAC,CHRU,75 - Nouvelle-Aquitaine
43,330802752,330802752 - CENTRE JEAN ABADIE - CHU,BORDEAUX,CHRU,75 - Nouvelle-Aquitaine
44,340008275,340008275 - CENTRE ANTONIN BALMES CHU MONTPELLIER,MONTPELLIER,CHRU,76 - Occitanie
45,340022763,340022763 - CHU MTP SMUR ANTENNE LUNEL,LUNEL,CHRU,76 - Occitanie
46,340022771,340022771 - CHU MTP SMUR ANTENNE GANGES,GANGES,CHRU,76 - Occitanie
47,340025279,340025279 - CHU MTP PF TELEPHONE SAMU VAILHAUQUES,VAILHAUQUES,CHRU,76 - Occitanie
48,340027739,340027739 - CHU MTP SMUR ANTENNE CLERMONT HERAULT,CLERMONT L HERAULT,CHRU,76 - Occitanie
49,340780485,340780485 - CHS LA COLOMBIERE CHU MONTPELLIER,MONTPELLIER,CHRU,76 - Occitanie
50,340782036,340782036 - HOPITAL ST ELOI CHU MONTPELLIER,MONTPELLIER,CHRU,76 - Occitanie
51,340782085,340782085 - HOPITAL GUI DE CHAULIAC CHU MTP,MONTPELLIER,CHRU,76 - Occitanie
52,340785161,340785161 - HOPITAL LAPEYRONIE CHU MONTPELLIER,MONTPELLIER,CHRU,76 - Occitanie
53,340796663,340796663 - HOPITAL ARNAUD DE VILLENEUVE CHU MPT,MONTPELLIER,CHRU,76 - Occitanie
54,350000741,350000741 - CHRU RENNES SITE PONTCHAILLOU,RENNES,CHRU,53 - Bretagne
55,350006771,350006771 - CHRU RENNES SITE LA TAUVRAIS,RENNES,CHRU,53 - Bretagne
56,350007084,350007084 - CHRU RENNES SITE HOPITAL SUD,RENNES,CHRU,53 - Bretagne
57,350053013,350053013 - CHU RENNES SITE SAINT LAURENT,RENNES,CHRU,53 - Bretagne
58,370000499,370000499 - CHRU CLOCHEVILLE - TOURS,TOURS,CHRU,24 - Centre-Val de Loire
59,370000515,370000515 - CTRE CONVAL. L'ERMITAGE CHRU TOURS,TOURS,CHRU,24 - Centre-Val de Loire
60,370000861,370000861 - CHRU BRETONNEAU - TOURS,TOURS,CHRU,24 - Centre-Val de Loire
61,370004467,370004467 - CHRU TROUSSEAU - CHAMBRAY,CHAMBRAY LES TOURS,CHRU,24 - Centre-Val de Loire
62,370005050,370005050 - CENTRE PSY.UNIVERSITAIRE-CHRU TOURS,SAINT CYR SUR LOIRE,CHRU,24 - Centre-Val de Loire
63,370013393,370013393 - CHRU DE TOURS - ANTENNE DE LOCHES,LOCHES,CHRU,24 - Centre-Val de Loire
64,370013401,370013401 - CHRU DE TOURS - ANTENNE CL L'ALLIANCE,SAINT CYR SUR LOIRE,CHRU,24 - Centre-Val de Loire
65,380000067,380000067 - HOPITAL NORD - CHU38,LA TRONCHE,CHRU,84 - Auvergne-Rhône-Alpes
66,380000406,380000406 - HOPITAL DE VOIRON - CHU38,VOIRON,CHRU,84 - Auvergne-Rhône-Alpes
67,380019752,380019752 - ANTENNE SMUR AERODROME VERSOUD - CHU38,DOMENE,CHRU,84 - Auvergne-Rhône-Alpes
68,380019760,380019760 - ANTENNE SMUR ALPES D'HUEZ - CHU38,HUEZ,CHRU,84 - Auvergne-Rhône-Alpes
69,380782722,380782722 - HOPITAL SUD - CHU38,ECHIROLLES,CHRU,84 - Auvergne-Rhône-Alpes
70,420010241,420010241 - INSTITUT DE CANCERO ET HEMATO - CHU42,SAINT PRIEST EN JAREZ,CHRU,84 - Auvergne-Rhône-Alpes
71,420782559,420782559 - HOPITAL DE BELLEVUE - CHU42,SAINT ETIENNE,CHRU,84 - Auvergne-Rhône-Alpes
72,420782567,420782567 - HOPITAL DE LA CHARITE - CHU42,SAINT ETIENNE,CHRU,84 - Auvergne-Rhône-Alpes
73,420785354,420785354 - HOPITAL NORD - CHU42,SAINT PRIEST EN JAREZ,CHRU,84 - Auvergne-Rhône-Alpes
74,440000271,440000271 - CHU DE NANTES SITE HOTEL DIEU HME,NANTES,CHRU,52 - Pays de la Loire
75,440000453,440000453 - CHU DE NANTES SITE HOPITAL BELLIER,NANTES,CHRU,52 - Pays de la Loire
76,440003291,440003291 - CHU DE NANTES SITE SAINT JACQUES,NANTES,CHRU,52 - Pays de la Loire
77,440017598,440017598 - CHU DE NANTES SITE LAENNEC,SAINT HERBLAIN,CHRU,52 - Pays de la Loire
78,440021392,440021392 - HOP PSY STJACQUES CHU NANTES,NANTES,CHRU,52 - Pays de la Loire
79,440050458,440050458 - SSR BEAUSEJOUR CHU NANTES,NANTES,CHRU,52 - Pays de la Loire
80,440050466,440050466 - SSR PIRMIL CHU NANTES,NANTES,CHRU,52 - Pays de la Loire
81,440053007,440053007 - SMUR CHU NANTES SITE CH ANCENIS,ANCENIS SAINT GEREON,CHRU,52 - Pays de la Loire
82,450002613,450002613 - CHRU ORLEANS - HOPITAL DE LA SOURCE,ORLEANS,CHRU,24 - Centre-Val de Loire
83,450021449,450021449 - SITE JEANNE D'ARC GIEN - CHRU ORLEANS,GIEN,CHRU,24 - Centre-Val de Loire
84,490000049,490000049 - CHR ANGERS SITE LARREY,ANGERS,CHRU,52 - Pays de la Loire
85,490529005,490529005 - SMR CHR ANGERS,ANGERS,CHRU,52 - Pays de la Loire
86,510002447,510002447 - HOPITAL ROBERT DEBRE CHU REIMS,REIMS,CHRU,44 - Grand Est
